,US500,NAS100
1882-04-19,5.536332179930796,5.536332179930796
1882-04-20,5.536332179930796,5.536332179930796
1882-04-21,5.536332179930796,5.536332179930796
1882-04-24,5.536332179930796,5.536332179930796
1882-04-25,5.536332179930796,5.536332179930796
1882-04-26,5.536332179930796,5.536332179930796
1882-04-27,5.536332179930796,5.536332179930796
1882-04-28,5.536332179930796,5.536332179930796
1882-05-01,5.604203152364273,5.604203152364273
1882-05-02,5.604203152364273,5.604203152364273
1882-05-03,5.604203152364273,5.604203152364273
1882-05-04,5.604203152364273,5.604203152364273
1882-05-05,5.604203152364273,5.604203152364273
1882-05-08,5.604203152364273,5.604203152364273
1882-05-09,5.604203152364273,5.604203152364273
1882-05-10,5.604203152364273,5.604203152364273
1882-05-11,5.604203152364273,5.604203152364273
1882-05-12,5.604203152364273,5.604203152364273
1882-05-15,5.604203152364273,5.604203152364273
1882-05-16,5.604203152364273,5.604203152364273
1882-05-17,5.604203152364273,5.604203152364273
1882-05-18,5.604203152364273,5.604203152364273
1882-05-19,5.604203152364273,5.604203152364273
1882-05-22,5.604203152364273,5.604203152364273
1882-05-23,5.604203152364273,5.604203152364273
1882-05-24,5.604203152364273,5.604203152364273
1882-05-25,5.604203152364273,5.604203152364273
1882-05-26,5.604203152364273,5.604203152364273
1882-05-29,5.604203152364273,5.604203152364273
1882-05-30,5.604203152364273,5.604203152364273
1882-05-31,5.604203152364273,5.604203152364273
1882-06-01,5.633802816901409,5.633802816901409
1882-06-02,5.633802816901409,5.633802816901409
1882-06-05,5.633802816901409,5.633802816901409
1882-06-06,5.633802816901409,5.633802816901409
1882-06-07,5.633802816901409,5.633802816901409
1882-06-08,5.633802816901409,5.633802816901409
1882-06-09,5.633802816901409,5.633802816901409
1882-06-12,5.633802816901409,5.633802816901409
1882-06-13,5.633802816901409,5.633802816901409
1882-06-14,5.633802816901409,5.633802816901409
1882-06-15,5.633802816901409,5.633802816901409
1882-06-16,5.633802816901409,5.633802816901409
1882-06-19,5.633802816901409,5.633802816901409
1882-06-20,5.633802816901409,5.633802816901409
1882-06-21,5.633802816901409,5.633802816901409
1882-06-22,5.633802816901409,5.633802816901409
1882-06-23,5.633802816901409,5.633802816901409
1882-06-26,5.633802816901409,5.633802816901409
1882-06-27,5.633802816901409,5.633802816901409
1882-06-28,5.633802816901409,5.633802816901409
1882-06-29,5.633802816901409,5.633802816901409
1882-06-30,5.633802816901409,5.633802816901409
1882-07-03,5.633802816901409,5.633802816901409
1882-07-04,5.633802816901409,5.633802816901409
1882-07-05,5.633802816901409,5.633802816901409
1882-07-06,5.633802816901409,5.633802816901409
1882-07-07,5.633802816901409,5.633802816901409
1882-07-10,5.633802816901409,5.633802816901409
1882-07-11,5.633802816901409,5.633802816901409
1882-07-12,5.633802816901409,5.633802816901409
1882-07-13,5.633802816901409,5.633802816901409
1882-07-14,5.633802816901409,5.633802816901409
1882-07-17,5.633802816901409,5.633802816901409
1882-07-18,5.633802816901409,5.633802816901409
1882-07-19,5.633802816901409,5.633802816901409
1882-07-20,5.633802816901409,5.633802816901409
1882-07-21,5.633802816901409,5.633802816901409
1882-07-24,5.633802816901409,5.633802816901409
1882-07-25,5.633802816901409,5.633802816901409
1882-07-26,5.633802816901409,5.633802816901409
1882-07-27,5.633802816901409,5.633802816901409
1882-07-28,5.633802816901409,5.633802816901409
1882-07-31,5.633802816901409,5.633802816901409
1882-08-01,5.177993527508091,5.177993527508091
1882-08-02,5.177993527508091,5.177993527508091
1882-08-03,5.177993527508091,5.177993527508091
1882-08-04,5.177993527508091,5.177993527508091
1882-08-07,5.177993527508091,5.177993527508091
1882-08-08,5.177993527508091,5.177993527508091
1882-08-09,5.177993527508091,5.177993527508091
1882-08-10,5.177993527508091,5.177993527508091
1882-08-11,5.177993527508091,5.177993527508091
1882-08-14,5.177993527508091,5.177993527508091
1882-08-15,5.177993527508091,5.177993527508091
1882-08-16,5.177993527508091,5.177993527508091
1882-08-17,5.177993527508091,5.177993527508091
1882-08-18,5.177993527508091,5.177993527508091
1882-08-21,5.177993527508091,5.177993527508091
1882-08-22,5.177993527508091,5.177993527508091
1882-08-23,5.177993527508091,5.177993527508091
1882-08-24,5.177993527508091,5.177993527508091
1882-08-25,5.177993527508091,5.177993527508091
1882-08-28,5.177993527508091,5.177993527508091
1882-08-29,5.177993527508091,5.177993527508091
1882-08-30,5.177993527508091,5.177993527508091
1882-08-31,5.177993527508091,5.177993527508091
1882-09-01,5.128205128205128,5.128205128205128
1882-09-04,5.128205128205128,5.128205128205128
1882-09-05,5.128205128205128,5.128205128205128
1882-09-06,5.128205128205128,5.128205128205128
1882-09-07,5.128205128205128,5.128205128205128
1882-09-08,5.128205128205128,5.128205128205128
1882-09-11,5.128205128205128,5.128205128205128
1882-09-12,5.128205128205128,5.128205128205128
1882-09-13,5.128205128205128,5.128205128205128
1882-09-14,5.128205128205128,5.128205128205128
1882-09-15,5.128205128205128,5.128205128205128
1882-09-18,5.128205128205128,5.128205128205128
1882-09-19,5.128205128205128,5.128205128205128
1882-09-20,5.128205128205128,5.128205128205128
1882-09-21,5.128205128205128,5.128205128205128
1882-09-22,5.128205128205128,5.128205128205128
1882-09-25,5.128205128205128,5.128205128205128
1882-09-26,5.128205128205128,5.128205128205128
1882-09-27,5.128205128205128,5.128205128205128
1882-09-28,5.128205128205128,5.128205128205128
1882-09-29,5.128205128205128,5.128205128205128
1882-10-02,5.128205128205128,5.128205128205128
1882-10-03,5.128205128205128,5.128205128205128
1882-10-04,5.128205128205128,5.128205128205128
1882-10-05,5.128205128205128,5.128205128205128
1882-10-06,5.128205128205128,5.128205128205128
1882-10-09,5.128205128205128,5.128205128205128
1882-10-10,5.128205128205128,5.128205128205128
1882-10-11,5.128205128205128,5.128205128205128
1882-10-12,5.128205128205128,5.128205128205128
1882-10-13,5.128205128205128,5.128205128205128
1882-10-16,5.128205128205128,5.128205128205128
1882-10-17,5.128205128205128,5.128205128205128
1882-10-18,5.128205128205128,5.128205128205128
1882-10-19,5.128205128205128,5.128205128205128
1882-10-20,5.128205128205128,5.128205128205128
1882-10-23,5.128205128205128,5.128205128205128
1882-10-24,5.128205128205128,5.128205128205128
1882-10-25,5.128205128205128,5.128205128205128
1882-10-26,5.128205128205128,5.128205128205128
1882-10-27,5.128205128205128,5.128205128205128
1882-10-30,5.128205128205128,5.128205128205128
1882-10-31,5.128205128205128,5.128205128205128
1882-11-01,5.507745266781412,5.507745266781412
1882-11-02,5.507745266781412,5.507745266781412
1882-11-03,5.507745266781412,5.507745266781412
1882-11-06,5.507745266781412,5.507745266781412
1882-11-07,5.507745266781412,5.507745266781412
1882-11-08,5.507745266781412,5.507745266781412
1882-11-09,5.507745266781412,5.507745266781412
1882-11-10,5.507745266781412,5.507745266781412
1882-11-13,5.507745266781412,5.507745266781412
1882-11-14,5.507745266781412,5.507745266781412
1882-11-15,5.507745266781412,5.507745266781412
1882-11-16,5.507745266781412,5.507745266781412
1882-11-17,5.507745266781412,5.507745266781412
1882-11-20,5.507745266781412,5.507745266781412
1882-11-21,5.507745266781412,5.507745266781412
1882-11-22,5.507745266781412,5.507745266781412
1882-11-23,5.507745266781412,5.507745266781412
1882-11-24,5.507745266781412,5.507745266781412
1882-11-27,5.507745266781412,5.507745266781412
1882-11-28,5.507745266781412,5.507745266781412
1882-11-29,5.507745266781412,5.507745266781412
1882-11-30,5.507745266781412,5.507745266781412
1882-12-01,5.479452054794521,5.479452054794521
1882-12-04,5.479452054794521,5.479452054794521
1882-12-05,5.479452054794521,5.479452054794521
1882-12-06,5.479452054794521,5.479452054794521
1882-12-07,5.479452054794521,5.479452054794521
1882-12-08,5.479452054794521,5.479452054794521
1882-12-11,5.479452054794521,5.479452054794521
1882-12-12,5.479452054794521,5.479452054794521
1882-12-13,5.479452054794521,5.479452054794521
1882-12-14,5.479452054794521,5.479452054794521
1882-12-15,5.479452054794521,5.479452054794521
1882-12-18,5.479452054794521,5.479452054794521
1882-12-19,5.479452054794521,5.479452054794521
1882-12-20,5.479452054794521,5.479452054794521
1882-12-21,5.479452054794521,5.479452054794521
1882-12-22,5.479452054794521,5.479452054794521
1882-12-25,5.479452054794521,5.479452054794521
1882-12-26,5.479452054794521,5.479452054794521
1882-12-27,5.479452054794521,5.479452054794521
1882-12-28,5.479452054794521,5.479452054794521
1882-12-29,5.479452054794521,5.479452054794521
1883-01-01,5.521514629948364,5.521514629948364
1883-01-02,5.521514629948364,5.521514629948364
1883-01-03,5.521514629948364,5.521514629948364
1883-01-04,5.521514629948364,5.521514629948364
1883-01-05,5.521514629948364,5.521514629948364
1883-01-08,5.521514629948364,5.521514629948364
1883-01-09,5.521514629948364,5.521514629948364
1883-01-10,5.521514629948364,5.521514629948364
1883-01-11,5.521514629948364,5.521514629948364
1883-01-12,5.521514629948364,5.521514629948364
1883-01-15,5.521514629948364,5.521514629948364
1883-01-16,5.521514629948364,5.521514629948364
1883-01-17,5.521514629948364,5.521514629948364
1883-01-18,5.521514629948364,5.521514629948364
1883-01-19,5.521514629948364,5.521514629948364
1883-01-22,5.521514629948364,5.521514629948364
1883-01-23,5.521514629948364,5.521514629948364
1883-01-24,5.521514629948364,5.521514629948364
1883-01-25,5.521514629948364,5.521514629948364
1883-01-26,5.521514629948364,5.521514629948364
1883-01-29,5.521514629948364,5.521514629948364
1883-01-30,5.521514629948364,5.521514629948364
1883-01-31,5.521514629948364,5.521514629948364
1883-02-01,5.663732394366197,5.663732394366197
1883-02-02,5.663732394366197,5.663732394366197
1883-02-05,5.663732394366197,5.663732394366197
1883-02-06,5.663732394366197,5.663732394366197
1883-02-07,5.663732394366197,5.663732394366197
1883-02-08,5.663732394366197,5.663732394366197
1883-02-09,5.663732394366197,5.663732394366197
1883-02-12,5.663732394366197,5.663732394366197
1883-02-13,5.663732394366197,5.663732394366197
1883-02-14,5.663732394366197,5.663732394366197
1883-02-15,5.663732394366197,5.663732394366197
1883-02-16,5.663732394366197,5.663732394366197
1883-02-19,5.663732394366197,5.663732394366197
1883-02-20,5.663732394366197,5.663732394366197
1883-02-21,5.663732394366197,5.663732394366197
1883-02-22,5.663732394366197,5.663732394366197
1883-02-23,5.663732394366197,5.663732394366197
1883-02-26,5.663732394366197,5.663732394366197
1883-02-27,5.663732394366197,5.663732394366197
1883-02-28,5.663732394366197,5.663732394366197
1883-03-01,5.608695652173913,5.608695652173913
1883-03-02,5.608695652173913,5.608695652173913
1883-03-05,5.608695652173913,5.608695652173913
1883-03-06,5.608695652173913,5.608695652173913
1883-03-07,5.608695652173913,5.608695652173913
1883-03-08,5.608695652173913,5.608695652173913
1883-03-09,5.608695652173913,5.608695652173913
1883-03-12,5.608695652173913,5.608695652173913
1883-03-13,5.608695652173913,5.608695652173913
1883-03-14,5.608695652173913,5.608695652173913
1883-03-15,5.608695652173913,5.608695652173913
1883-03-16,5.608695652173913,5.608695652173913
1883-03-19,5.608695652173913,5.608695652173913
1883-03-20,5.608695652173913,5.608695652173913
1883-03-21,5.608695652173913,5.608695652173913
1883-03-22,5.608695652173913,5.608695652173913
1883-03-23,5.608695652173913,5.608695652173913
1883-03-26,5.608695652173913,5.608695652173913
1883-03-27,5.608695652173913,5.608695652173913
1883-03-28,5.608695652173913,5.608695652173913
1883-03-29,5.608695652173913,5.608695652173913
1883-03-30,5.608695652173913,5.608695652173913
1883-04-02,5.608695652173913,5.608695652173913
1883-04-03,5.608695652173913,5.608695652173913
1883-04-04,5.608695652173913,5.608695652173913
1883-04-05,5.608695652173913,5.608695652173913
1883-04-06,5.608695652173913,5.608695652173913
1883-04-09,5.608695652173913,5.608695652173913
1883-04-10,5.608695652173913,5.608695652173913
1883-04-11,5.608695652173913,5.608695652173913
1883-04-12,5.608695652173913,5.608695652173913
1883-04-13,5.608695652173913,5.608695652173913
1883-04-16,5.608695652173913,5.608695652173913
1883-04-17,5.608695652173913,5.608695652173913
1883-04-18,5.608695652173913,5.608695652173913
1883-04-19,5.608695652173913,5.608695652173913
1883-04-20,5.608695652173913,5.608695652173913
1883-04-23,5.608695652173913,5.608695652173913
1883-04-24,5.608695652173913,5.608695652173913
1883-04-25,5.608695652173913,5.608695652173913
1883-04-26,5.608695652173913,5.608695652173913
1883-04-27,5.608695652173913,5.608695652173913
1883-04-30,5.608695652173913,5.608695652173913
1883-05-01,5.618717504332755,5.618717504332755
1883-05-02,5.618717504332755,5.618717504332755
1883-05-03,5.618717504332755,5.618717504332755
1883-05-04,5.618717504332755,5.618717504332755
1883-05-07,5.618717504332755,5.618717504332755
1883-05-08,5.618717504332755,5.618717504332755
1883-05-09,5.618717504332755,5.618717504332755
1883-05-10,5.618717504332755,5.618717504332755
1883-05-11,5.618717504332755,5.618717504332755
1883-05-14,5.618717504332755,5.618717504332755
1883-05-15,5.618717504332755,5.618717504332755
1883-05-16,5.618717504332755,5.618717504332755
1883-05-17,5.618717504332755,5.618717504332755
1883-05-18,5.618717504332755,5.618717504332755
1883-05-21,5.618717504332755,5.618717504332755
1883-05-22,5.618717504332755,5.618717504332755
1883-05-23,5.618717504332755,5.618717504332755
1883-05-24,5.618717504332755,5.618717504332755
1883-05-25,5.618717504332755,5.618717504332755
1883-05-28,5.618717504332755,5.618717504332755
1883-05-29,5.618717504332755,5.618717504332755
1883-05-30,5.618717504332755,5.618717504332755
1883-05-31,5.618717504332755,5.618717504332755
1883-06-01,5.584192439862543,5.584192439862543
1883-06-04,5.584192439862543,5.584192439862543
1883-06-05,5.584192439862543,5.584192439862543
1883-06-06,5.584192439862543,5.584192439862543
1883-06-07,5.584192439862543,5.584192439862543
1883-06-08,5.584192439862543,5.584192439862543
1883-06-11,5.584192439862543,5.584192439862543
1883-06-12,5.584192439862543,5.584192439862543
1883-06-13,5.584192439862543,5.584192439862543
1883-06-14,5.584192439862543,5.584192439862543
1883-06-15,5.584192439862543,5.584192439862543
